grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
115,113033374,114152868.0,113033374-114152868,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,95% level,,,:SNOWLR:surface:24 hour fcst:95% level:
116,114152869,115284803.0,114152869-115284803,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,99% level,,,:SNOWLR:surface:24 hour fcst:99% level:
117,115284804,116319997.0,115284804-116319997,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,,,,:SNOWLR:surface:24 hour fcst:
118,116319998,116792862.0,116319998-116792862,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",1% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:1% level:"
119,116792863,117266596.0,116792863-117266596,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",5% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:5% level:"
120,117266597,117741824.0,117266597-117741824,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",10% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:10% level:"
121,117741825,118219966.0,117741825-118219966,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",20% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:20% level:"
122,118219967,118699843.0,118219967-118699843,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",25% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:25% level:"
123,118699844,119181768.0,118699844-119181768,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",30% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:30% level:"
124,119181769,119668772.0,119181769-119668772,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",40% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:40% level:"
125,119668773,120163037.0,119668773-120163037,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",50% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:50% level:"
